Format Version,1.23,Take Name,RotationTest_009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-10-09 01.37.45.963 PM,Capture Start Frame,996143,Total Frames in Take,4513,Total Exported Frames,4513,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.216667,-151.411423,-0.467575,-1.064837,0.283841,0.156508,0.417572,0.000319,0.186316,0.158735,0.396114,0.893128,0.271675,0.163831,0.478158,0.899449,0.280993,0.150914,0.418801,0.913703,0.396381,0.152553,0.377214,0.922442,0.186205,0.158661,0.395707,0.271764,0.163782,0.478552,0.280912,0.151088,0.419078,0.396488,0.152493,0.376943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-151.412018,-0.473173,-1.070926,0.283845,0.156506,0.417571,0.000319,0.186320,0.158731,0.396112,0.892655,0.271677,0.163820,0.478158,0.898530,0.280997,0.150912,0.418800,0.914348,0.396385,0.152562,0.377214,0.923605,0.186215,0.158663,0.395702,0.271766,0.163775,0.478551,0.280905,0.151073,0.419088,0.396497,0.152507,0.376935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,-151.407654,-0.462006,-1.070325,0.283850,0.156502,0.417575,0.000323,0.186324,0.158715,0.396124,0.892820,0.271686,0.163825,0.478162,0.899384,0.281003,0.150908,0.418805,0.915050,0.396388,0.152560,0.377210,0.924859,0.186205,0.158641,0.395719,0.271777,0.163775,0.478551,0.280919,0.151084,0.419083,0.396503,0.152500,0.376939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-151.404922,-0.463725,-1.072520,0.283863,0.156505,0.417565,0.000334,0.186336,0.158717,0.396119,0.894827,0.271702,0.163825,0.478153,0.898239,0.281016,0.150910,0.418795,0.920086,0.396399,0.152566,0.377195,0.924948,0.186205,0.158641,0.395726,0.271778,0.163775,0.478549,0.280951,0.151091,0.419051,0.396521,0.152503,0.376928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-151.404388,-0.454175,-1.061521,0.283845,0.156498,0.417572,0.000310,0.186317,0.158713,0.396126,0.895840,0.271685,0.163834,0.478158,0.901001,0.280997,0.150904,0.418804,0.919005,0.396380,0.152540,0.377202,0.929444,0.186202,0.158639,0.395733,0.271778,0.163784,0.478540,0.280920,0.151081,0.419064,0.396483,0.152480,0.376946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,-151.406479,-0.466876,-1.071517,0.283849,0.156506,0.417566,0.000325,0.186322,0.158723,0.396117,0.895840,0.271687,0.163825,0.478154,0.901001,0.281001,0.150912,0.418796,0.919005,0.396385,0.152565,0.377199,0.929444,0.186200,0.158650,0.395715,0.271772,0.163776,0.478545,0.280926,0.151087,0.419067,0.396500,0.152505,0.376930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,-151.410797,-0.467363,-1.065232,0.283836,0.156500,0.417574,0.000313,0.186311,0.158726,0.396118,0.893316,0.271670,0.163823,0.478161,0.899090,0.280988,0.150906,0.418804,0.917110,0.396376,0.152546,0.377215,0.925394,0.186202,0.158651,0.395712,0.271768,0.163773,0.478554,0.280903,0.151083,0.419074,0.396477,0.152486,0.376951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-151.411209,-0.458076,-1.064602,0.283834,0.156492,0.417588,0.000313,0.186309,0.158708,0.396130,0.893185,0.271667,0.163822,0.478173,0.898002,0.280987,0.150898,0.418818,0.916528,0.396374,0.152539,0.377230,0.927760,0.186197,0.158634,0.395724,0.271768,0.163773,0.478559,0.280899,0.151070,0.419093,0.396478,0.152481,0.376967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,-151.400391,-0.452927,-1.075656,0.283856,0.156505,0.417576,0.000335,0.186326,0.158701,0.396137,0.894749,0.271699,0.163833,0.478163,0.901695,0.281009,0.150911,0.418807,0.914411,0.396389,0.152577,0.377197,0.920546,0.186200,0.158629,0.395741,0.271784,0.163785,0.478544,0.280912,0.151081,0.419087,0.396532,0.152518,0.376919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,-151.405151,-0.449243,-1.061107,0.283847,0.156498,0.417580,0.000320,0.186320,0.158708,0.396132,0.892566,0.271687,0.163838,0.478165,0.899568,0.281000,0.150904,0.418811,0.916299,0.396383,0.152541,0.377211,0.927860,0.186195,0.158632,0.395728,0.271789,0.163787,0.478550,0.280913,0.151082,0.419081,0.396494,0.152481,0.376951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
